id,y
0,0
1,0
2,0
3,1
4,2
5,1
6,0
7,1
8,2
9,0
10,2
11,0
12,0
13,0
14,2
15,0
16,1
17,2
18,2
19,0
20,2
21,0
22,2
23,0
24,0
25,0
26,2
27,0
28,2
29,1
30,3
31,0
32,0
33,3
34,0
35,0
36,2
37,0
38,2
39,0
40,2
41,0
42,0
43,0
44,2
45,0
46,0
47,2
48,2
49,2
50,0
51,0
52,0
53,1
54,2
55,2
56,0
57,0
58,2
59,0
60,2
61,0
62,0
63,2
64,0
65,0
66,2
67,0
68,0
69,2
70,0
71,3
72,0
73,0
74,3
75,2
76,0
77,1
78,0
79,0
80,0
81,0
82,2
83,0
84,0
85,0
86,0
87,2
88,0
89,2
90,2
91,0
92,2
93,0
94,0
95,2
96,1
97,0
98,0
99,0
100,2
101,0
102,3
103,3
104,2
105,2
106,0
107,0
108,1
109,2
110,0
111,0
112,0
113,1
114,2
115,2
116,2
117,2
118,0
119,0
120,0
121,0
122,2
123,1
124,2
125,0
126,1
127,2
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,2
138,1
139,0
140,0
141,0
142,2
143,0
144,1
145,1
146,2
147,0
148,2
149,2
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,2
158,0
159,0
160,2
161,0
162,0
163,2
164,0
165,1
166,0
167,0
168,0
169,2
170,0
171,3
172,2
173,0
174,0
175,2
176,0
177,0
178,0
179,2
180,0
181,0
182,2
183,2
184,0
185,2
186,2
187,1
188,1
189,0
190,2
191,0
192,0
193,0
194,0
195,2
196,0
197,3
198,0
199,1
200,2
201,3
202,0
203,2
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,0
215,0
216,2
217,2
218,1
219,0
220,2
221,2
222,2
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,2
234,0
235,2
236,2
237,0
238,2
239,0
240,0
241,2
242,1
243,0
244,2
245,2
246,0
247,0
248,0
249,0
250,2
251,2
252,0
253,0
254,0
255,0
256,0
257,2
258,0
259,2
260,0
261,2
262,0
263,0
264,2
265,0
266,2
267,0
268,0
269,3
270,0
271,2
272,2
273,2
274,2
275,2
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,2
284,0
285,0
286,0
287,0
288,0
289,0
290,2
291,3
292,2
293,0
294,0
295,2
296,2
297,0
298,2
299,0
300,0
301,0
302,0
303,0
304,2
305,0
306,1
307,1
308,0
309,0
310,2
311,0
312,0
313,0
314,0
315,0
316,0
317,3
318,2
319,0
320,0
321,0
322,0
323,2
324,0
325,0
326,0
327,2
328,0
329,1
330,0
331,0
332,0
333,3
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,2
344,0
345,0
346,0
347,2
348,2
349,0
350,1
351,0
352,0
353,0
354,0
355,2
356,2
357,1
358,0
359,0
360,2
361,0
362,2
363,2
364,2
365,2
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,2
374,0
375,2
376,0
377,0
378,2
379,0
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,2
393,2
394,0
395,0
396,2
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,1
406,2
407,2
408,2
409,0
410,2
411,0
412,1
413,0
414,0
415,0
416,2
417,2
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,2
428,2
429,2
430,0
431,2
432,2
433,2
434,1
435,2
436,2
437,2
438,3
439,0
440,1
441,0
442,0
443,0
444,0
445,0
446,2
447,0
448,3
449,0
450,2
451,0
452,0
453,0
454,1
455,0
456,0
457,2
458,0
459,0
460,2
461,0
462,0
463,2
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,0
472,2
473,2
474,0
475,2
476,1
477,0
478,2
479,2
480,0
481,2
482,1
483,0
484,0
485,2
486,0
487,2
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,2
497,1
498,2
499,0
500,0
501,3
502,0
503,2
504,0
505,0
506,0
507,0
508,2
509,0
510,0
511,0
512,1
513,0
514,1
515,0
516,1
517,2
518,2
519,0
520,0
521,0
522,2
523,0
524,2
525,2
526,2
527,3
528,0
529,0
530,0
531,0
532,2
